Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),NH3_X(22),O2_ads(49)
0.0002118941480651485,0.05595639656,0.054,0.0,0.0,3.370247882228651e-05,0.8601683431606864,0.0,0.0,0.0,0.06599995047753998,0.0,0.03966331367858809,4.9522460222786506e-08,9.899523051919505e-15
0.00021251003144480846,0.05595639656,0.054,0.0,0.0,3.360489870186449e-05,0.8601682942989299,0.0,0.0,0.0,0.06599995062093252,0.0,0.03966341140210103,4.9379067701189365e-08,9.899571833389048e-15
0.00021312591482446842,0.05595639656,0.054,0.0,0.0,3.35078820109116e-05,0.8601682457193022,0.0,0.0,0.0,0.06599995076349702,0.0,0.0396635085613565,4.923650317785476e-08,9.899620333312586e-15
0.00021374179820412838,0.05595639656,0.054,0.0,0.0,3.3411423883566244e-05,0.8601681974193666,0.0,0.0,0.0,0.0659999509052407,0.0,0.03966360516122753,4.909475950165946e-08,9.899668554120571e-15
0.00021435768158378833,0.05595639656,0.054,0.0,0.0,3.3315519509835956e-05,0.8601681493967149,0.0,0.0,0.0,0.0659999510461706,0.0,0.03966370120653114,4.8953829603593036e-08,9.89971649821554e-15
0.0002149735649634483,0.05595639656,0.054,0.0,0.0,3.322016413479791e-05,0.8601681016489657,0.0,0.0,0.0,0.06599995118629369,0.0,0.0396637967020293,4.881370649558272e-08,9.899764167972571e-15
0.00021558944834310824,0.05595639656,0.054,0.0,0.0,3.3125353057813066e-05,0.8601680541737655,0.0,0.0,0.0,0.06599995132561694,0.0,0.03966389165242951,4.867438326933849e-08,9.899811565739616e-15
0.0002162053317227682,0.05595639656,0.054,0.0,0.0,3.3031081631753646e-05,0.8601680069687875,0.0,0.0,0.0,0.06599995146414708,0.0,0.039663986062385734,4.8535853095217443e-08,9.899858693837891e-15
0.00021682121510242816,0.05595639656,0.054,0.0,0.0,3.2937345262243945e-05,0.8601679600317307,0.0,0.0,0.0,0.06599995160189097,0.0,0.039664079936499126,4.8398109221108024e-08,9.899905554562324e-15
0.0002174370984820881,0.05595639656,0.054,0.0,0.0,3.284413940691379e-05,0.8601679133603211,0.0,0.0,0.0,0.06599995173885521,0.0,0.039664173279318704,4.826114497133276e-08,9.899952150181834e-15
0.00021805298186174807,0.05595639656,0.054,0.0,0.0,3.2751459574664876e-05,0.8601678669523095,0.0,0.0,0.0,0.06599995187504643,0.0,0.03966426609534218,4.812495374556985e-08,9.899998482939756e-15
0.00021866886524140802,0.05595639656,0.054,0.0,0.0,3.265930132494937e-05,0.860167820805472,0.0,0.0,0.0,0.06599995201047118,0.0,0.039664358389016614,4.7989529017792913e-08,9.900044555054171e-15
0.00021928474862106798,0.05595639656,0.054,0.0,0.0,3.256766026706065e-05,0.8601677749176108,0.0,0.0,0.0,0.06599995214513585,0.0,0.03966445016473919,4.785486433522841e-08,9.900090368718306e-15
0.00021990063200072793,0.05595639656,0.054,0.0,0.0,3.247653205943603e-05,0.8601677292865515,0.0,0.0,0.0,0.06599995227904687,0.0,0.03966454142685783,4.7720953317330904e-08,9.900135926100818e-15
0.0002205165153803879,0.05595639656,0.054,0.0,0.0,3.2385912408971025e-05,0.8601676839101443,0.0,0.0,0.0,0.06599995241221054,0.0,0.039664632179671956,4.75877896547751e-08,9.90018122934618e-15
0.00022113239876004785,0.05595639656,0.054,0.0,0.0,3.22957970703452e-05,0.8601676387862638,0.0,0.0,0.0,0.06599995254463308,0.0,0.03966472242743312,4.7455367108465016e-08,9.900226280575016e-15
0.0002217482821397078,0.05595639656,0.054,0.0,0.0,3.2206181845359235e-05,0.8601675939128074,0.0,0.0,0.0,0.06599995267632068,0.0,0.039664812174345705,4.7323679508559535e-08,9.900271081884402e-15
0.00022236416551936776,0.05595639656,0.054,0.0,0.0,3.2117062582282846e-05,0.8601675492876966,0.0,0.0,0.0,0.06599995280727945,0.0,0.03966490142456755,4.719272075351403e-08,9.900315635348233e-15
