Time (s),Volume (m^3),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),H2OX(12)
8.005936453115277e-12,0.066515776,0.938,0.0,1.5720962415116537e-08,0.0,6.984578444591768e-16,1.0446905227711587e-09,0.0,0.0,0.03936143681100868,0.009999992139518622,0.04999930623890506,0.0,0.0,0.0019999989553094785,0.0,6.937610946443953e-07
8.065275414082116e-12,0.066515776,0.938,0.0,1.5837482695835557e-08,0.0,7.11044494666971e-16,1.0524196787844008e-09,0.0,0.0,0.03936143531818438,0.009999992081258478,0.049999304870330205,0.0,0.0,0.0019999989475803226,0.0,6.95129669486607e-07
8.124614375048954e-12,0.066515776,0.938,0.0,1.59540029670452e-08,0.0,7.237488721334183e-16,1.060148630104337e-09,0.0,0.0,0.039361433847812495,0.00999999202299834,0.04999930352420755,0.0,0.0,0.0019999989398513714,0.0,6.964757921380824e-07
8.183953336015793e-12,0.066515776,0.938,0.0,1.6070523228877334e-08,0.0,7.365709306300112e-16,1.0678773767407683e-09,0.0,0.0,0.03936143239952468,0.009999991964738207,0.049999302200168745,0.0,0.0,0.001999998932122625,0.0,6.977998309381685e-07
8.243292296982632e-12,0.066515776,0.938,0.0,1.618704348146165e-08,0.0,7.495106217551777e-16,1.0756059187034242e-09,0.0,0.0,0.03936143097295862,0.009999991906478076,0.049999300897851484,0.0,0.0,0.001999998924394083,0.0,6.991021481834227e-07
8.30263125794947e-12,0.066515776,0.938,0.0,1.6303563724925714e-08,0.0,7.625678950180227e-16,1.083334256001962e-09,0.0,0.0,0.03936142956775799,0.009999991848217952,0.04999929961689944,0.0,0.0,0.001999998916665746,0.0,7.003831002267471e-07
8.36197021891631e-12,0.066515776,0.938,0.0,1.642008395939502e-08,0.0,7.757426979199084e-16,1.091062388645971e-09,0.0,0.0,0.039361428183572265,0.009999991789957833,0.04999929835696208,0.0,0.0,0.001999998908937613,0.0,7.016430375748972e-07
8.421309179883148e-12,0.066515776,0.938,0.0,1.6536604184992982e-08,0.0,7.890349760339207e-16,1.0987903166449702e-09,0.0,0.0,0.03936142682005669,0.009999991731697716,0.04999929711769467,0.0,0.0,0.001999998901209685,0.0,7.028823049843917e-07
8.480648140849987e-12,0.066515776,0.938,0.0,1.6653124401841007e-08,0.0,8.024446730822659e-16,1.1065180400084112e-09,0.0,0.0,0.03936142547687215,0.009999991673437606,0.04999929589875808,0.0,0.0,0.0019999988934819614,0.0,7.041012415558463e-07
8.539987101816826e-12,0.066515776,0.938,0.0,1.67696446100585e-08,0.0,8.159717310116491e-16,1.114245558745679e-09,0.0,0.0,0.03936142415368514,0.009999991615177497,0.04999929469981881,0.0,0.0,0.0019999988857544427,0.0,7.053001808267633e-07
8.599326062783664e-12,0.066515776,0.938,0.0,1.688616480976291e-08,0.0,8.296160900666777e-16,1.1219728728660946e-09,0.0,0.0,0.03936142285016758,0.009999991556917394,0.04999929352054878,0.0,0.0,0.0019999988780271287,0.0,7.064794508627963e-07
8.658665023750503e-12,0.066515776,0.938,0.0,1.700268500106978e-08,0.0,8.43377688861332e-16,1.1296999823789126e-09,0.0,0.0,0.039361421565996785,0.009999991498657294,0.04999929236062528,0.0,0.0,0.0019999988703000193,0.0,7.076393743475186e-07
8.718003984717342e-12,0.066515776,0.938,0.0,1.7119205184092726e-08,0.0,8.572564644485522e-16,1.137426887293325e-09,0.0,0.0,0.03936142030085536,0.009999991440397198,0.04999929121973095,0.0,0.0,0.0019999988625731147,0.0,7.087802686707193e-07
8.77734294568418e-12,0.066515776,0.938,0.0,1.7235725358943524e-08,0.0,8.712523523879772e-16,1.1451535876184622e-09,0.0,0.0,0.03936141905443113,0.009999991382137108,0.04999929009755359,0.0,0.0,0.001999998854846414,0.0,7.099024460152506e-07
8.83668190665102e-12,0.066515776,0.938,0.0,1.7352245525732106e-08,0.0,8.853652868118854e-16,1.1528800833633927e-09,0.0,0.0,0.03936141782641702,0.00999999132387702,0.04999928899378616,0.0,0.0,0.0019999988471199183,0.0,7.11006213442449e-07
8.896020867617858e-12,0.066515776,0.938,0.0,1.7468765684566615e-08,0.0,8.995952004893684e-16,1.160606374537125e-09,0.0,0.0,0.03936141661651102,0.009999991265616936,0.04999928790812663,0.0,0.0,0.0019999988393936273,0.0,7.120918729761583e-07
8.955359828584697e-12,0.066515776,0.938,0.0,1.758528583555341e-08,0.0,9.13942024888789e-16,1.168332461148608e-09,0.0,0.0,0.03936141542441607,0.009999991207356859,0.04999928684027791,0.0,0.0,0.001999998831667541,0.0,7.1315972168537e-07
9.014698789551536e-12,0.066515776,0.938,0.0,1.7701805978797117e-08,0.0,9.284056902385516e-16,1.1760583432067321e-09,0.0,0.0,0.03936141424983994,0.009999991149096783,0.04999928578994781,0.0,0.0,0.0019999988239416586,0.0,7.142100517655118e-07
