Time (s),Volume (m^3),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
0.0005209610222837052,0.043484688560000005,0.054,0.0,0.025723377842403198,0.0,0.0,3.7669781440719255e-07,0.0,0.0,9.249281840953683e-06,0.8671383110787962,0.0,0.0,0.0,0.06599962330218577,0.0
0.0005222909891702494,0.043484688560000005,0.054,0.0,0.025723402344027188,0.0,0.0,3.757389792123479e-07,0.0,0.0,9.225739052158961e-06,0.8671382988279843,0.0,0.0,0.0,0.06599962426102096,0.0
0.0005236209560567937,0.043484688560000005,0.054,0.0,0.02572342672123641,0.0,0.0,3.7478501281768786e-07,0.0,0.0,9.202315809328818e-06,0.8671382866393796,0.0,0.0,0.0,0.06599962521498734,0.0
0.0005249509229433379,0.043484688560000005,0.054,0.0,0.025723450974976105,0.0,0.0,3.738358782326686e-07,0.0,0.0,9.179011204218856e-06,0.8671382745125098,0.0,0.0,0.0,0.06599962616412193,0.0
0.0005262808898298822,0.043484688560000005,0.054,0.0,0.02572347510618195,0.0,0.0,3.728915388405113e-07,0.0,0.0,9.155824337761906e-06,0.867138262446907,0.0,0.0,0.0,0.06599962710846133,0.0
0.0005276108567164264,0.043484688560000005,0.054,0.0,0.025723499115780212,0.0,0.0,3.719519583934958e-07,0.0,0.0,9.132754319952402e-06,0.8671382504421077,0.0,0.0,0.0,0.0659996280480418,0.0
0.0005289408236029706,0.043484688560000005,0.054,0.0,0.025723523004687818,0.0,0.0,3.710171010083206e-07,0.0,0.0,9.109800269732513e-06,0.8671382384976539,0.0,0.0,0.0,0.06599962898289916,0.0
0.0005302707904895149,0.043484688560000005,0.054,0.0,0.025723546773812514,0.0,0.0,3.7008693116153626e-07,0.0,0.0,9.086961314879954e-06,0.8671382266130916,0.0,0.0,0.0,0.06599962991306903,0.0
0.0005316007573760591,0.043484688560000005,0.054,0.0,0.025723570424052978,0.0,0.0,3.6916141368504514e-07,0.0,0.0,9.064236591897547e-06,0.8671382147879714,0.0,0.0,0.0,0.06599963083858648,0.0
0.0005329307242626034,0.043484688560000005,0.054,0.0,0.0257235939562989,0.0,0.0,3.682405137616687e-07,0.0,0.0,9.041625245904354e-06,0.8671382030218485,0.0,0.0,0.0,0.06599963175948641,0.0
0.0005342606911491476,0.043484688560000005,0.054,0.0,0.025723617371431112,0.0,0.0,3.6732419692078205e-07,0.0,0.0,9.019126430528491e-06,0.8671381913142823,0.0,0.0,0.0,0.06599963267580326,0.0
0.0005355906580356919,0.043484688560000005,0.054,0.0,0.025723640670321724,0.0,0.0,3.664124290340125e-07,0.0,0.0,8.996739307801525e-06,0.867138179664837,0.0,0.0,0.0,0.06599963358757115,0.0
0.0005369206249222361,0.043484688560000005,0.054,0.0,0.0257236638538342,0.0,0.0,3.6550517631100225e-07,0.0,0.0,8.97446304805444e-06,0.8671381680730809,0.0,0.0,0.0,0.06599963449482385,0.0
0.0005382505918087804,0.043484688560000005,0.054,0.0,0.02572368692282345,0.0,0.0,3.6460240529523483e-07,0.0,0.0,8.95229682981512e-06,0.8671381565385863,0.0,0.0,0.0,0.06599963539759487,0.0
0.0005395805586953246,0.043484688560000005,0.054,0.0,0.025723709878135992,0.0,0.0,3.637040828599211e-07,0.0,0.0,8.930239839707396e-06,0.8671381450609301,0.0,0.0,0.0,0.0659996362959173,0.0
0.0005409105255818688,0.043484688560000005,0.054,0.0,0.025723732720610005,0.0,0.0,3.628101762039485e-07,0.0,0.0,8.908291272351546e-06,0.867138133639693,0.0,0.0,0.0,0.06599963718982395,0.0
0.0005422404924684131,0.043484688560000005,0.054,0.0,0.02572375545107545,0.0,0.0,3.619206528478879e-07,0.0,0.0,8.88645033026625e-06,0.8671381222744604,0.0,0.0,0.0,0.06599963807934733,0.0
0.0005435704593549573,0.043484688560000005,0.054,0.0,0.02572377807035416,0.0,0.0,3.610354806300595e-07,0.0,0.0,8.864716223772033e-06,0.867138110964821,0.0,0.0,0.0,0.06599963896451953,0.0
