Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10)
2.909195907118568e-07,0.05595639656,0.054,0.0,0.0,0.015036746807393985,0.8676698405637424,0.0,0.0,0.0,0.066,0.0,0.02466031887251608
2.9220039081404104e-07,0.05595639656,0.054,0.0,0.0,0.014995932638834539,0.8676494334794629,0.0,0.0,0.0,0.066,0.0,0.024701133041075525
2.9348119091622525e-07,0.05595639656,0.054,0.0,0.0,0.014955340383475207,0.867629137351783,0.0,0.0,0.0,0.066,0.0,0.02474172529643486
2.9476199101840946e-07,0.05595639656,0.054,0.0,0.0,0.014914968231261415,0.8676089512756763,0.0,0.0,0.0,0.066,0.0,0.024782097448648656
2.960427911205937e-07,0.05595639656,0.054,0.0,0.0,0.014874814391811299,0.867588874355951,0.0,0.0,0.0,0.066,0.0,0.024822251288098767
2.973235912227779e-07,0.05595639656,0.054,0.0,0.0,0.014834877094148711,0.8675689057071199,0.0,0.0,0.0,0.066,0.0,0.024862188585761356
2.986043913249621e-07,0.05595639656,0.054,0.0,0.0,0.014795154586440575,0.867549044453266,0.0,0.0,0.0,0.066,0.0,0.02490191109346949
2.998851914271463e-07,0.05595639656,0.054,0.0,0.0,0.014755645135738522,0.8675292897279147,0.0,0.0,0.0,0.066,0.0,0.02494142054417154
3.0116599152933053e-07,0.05595639656,0.054,0.0,0.0,0.014716347027724676,0.8675096406739078,0.0,0.0,0.0,0.066,0.0,0.024980718652185395
3.0244679163151475e-07,0.05595639656,0.054,0.0,0.0,0.014677258566461562,0.8674900964432761,0.0,0.0,0.0,0.066,0.0,0.02501980711344851
3.0372759173369896e-07,0.05595639656,0.054,0.0,0.0,0.01463837807414603,0.8674706561971185,0.0,0.0,0.0,0.066,0.0,0.025058687605764036
3.050083918358832e-07,0.05595639656,0.054,0.0,0.0,0.01459970389086713,0.8674513191054791,0.0,0.0,0.0,0.066,0.0,0.02509736178904294
3.062891919380674e-07,0.05595639656,0.054,0.0,0.0,0.014561234374367854,0.8674320843472293,0.0,0.0,0.0,0.066,0.0,0.025135831305542214
